"Little Chicago : sexe, drogues et nuka cola - Session 2",Arcan - Les Démons d'Ivoire,"Un GN librement inspiré du monde de Fallout. Il s'agit de la seconde édition de l'événement, version dopée au Buffout!",https://www.facebook.com/events/136761500372404/,?,?,ven. 10 août 2018,2 ou 3 jours,54,,"Village Commando Bainville sur Madon, Les Vaines Terres, 54390 Bainville-Sur-Madon, France"
On Location Session 3,On Location,"International Larp (in English) : It’s 1932. At Tarrington Manor, a peaceful British country house, a cast and crew are assembled for the making of the film ‘Stolen Moments’.",https://onlocationlarp.wordpress.com/practical/signup/,251€,x,ven. 10 août 2018,Plus de 3 jours,United Kingdom,,"The 1908 Lodge, 7–11 Elmhurst Road, Gosport, PO12 1PG, United Kingdom"
Prisme : La Fête de Dahma,Collectif Prisme,"Dans le monde de Crystal, un univers médiéval féérique sombre (low fantasy darkage), avec de la diplomatie, de la magie, du combat et de l’aventure.",http://collectif-prisme.fr/pages/article.php?id=91,90€,,sam. 11 août 2018,Plus de 3 jours,24,,"Domaine de la Roche-Florens, 24210 Terrasson-Lavilledieu, France"
"Les Légendes de Zaelwaïr 2018 ""Les derniers Traldars""",Les Légendes de Zaelwaïr, la guerre approche et vos chefs de factions font appel à vous pour ce combat qu'ils vont livrer,https://www.facebook.com/events/109227123181863/,30€,15€,sam. 11 août 2018,2 ou 3 jours,49,,"Château de Serrant, 49170 Saint-Georges-sur-Loire, France"
LaboGN 2018,LaboGN,"Convention : Semaine d’expérimentations entre passionné-es de GN pour participer à des ateliers, avoir des discussions autour du GN, tester des jeux...",https://www.facebook.com/events/164993574215851/,220€,x,dim. 12 août 2018,Plus de 3 jours,43,,Lycée Auguste Aymard à Espaly-Saint-Marcel près du Puy-en-Velay
Terra Antiqua (Tome 2),Fantasticus,"Conquérir, enquête, combattre, vivre...",https://www.facebook.com/events/528341857557945,49€,25€,jeu. 16 août 2018,2 ou 3 jours,49,,"Château de Serrant, 49170 Saint-Georges-sur-Loire, France"
"Dies Irae : Sire, on en a gros! le GN",Chroniques & Chimères,Le royaume entier vient d'apprendre qu’Arthur vient de replanter - encore une fois - Excalibur dans son rocher.,https://www.facebook.com/events/442553256160665/,?,?,ven. 17 août 2018,2 ou 3 jours,49,,"Chevalerie de Sacé - Site Archéologique & Jardin Botanique, 1 rue du vieux logis, 49650 Brain-Sur-Allonnes, France"
A nice evening with the family - Session 1,Independant,International Larp (in English): A Larp about the Contemporary Nordic Family,http://aniceevening.se/plays/,250€,x,ven. 17 août 2018,2 ou 3 jours,Sweden,,"Follökna Mansion, Flen, Sweden"
Bunker 101 - The Fallout,Chaos League,"International Larp (in English): Life, Love and Death in Bunker 101. High-budget live-action roleplaying game for 100 players in the Southern Way/New Italian Larp style, set inside a real fallout shelter.",http://bunker101.com/en/,240€,x,ven. 17 août 2018,2 ou 3 jours,Italy,,"Bunker Soratte, 00060 Sant'Oreste Rome, Italy"
Mission Encelade,Neverland,"Le thème de ce gn est l'anticipation de la conquête planétaire, après une 3ème guerre mondiale qui a chamboulé l'organisation civile, sociale et humaine. ",https://gun-and-dream.wixsite.com/missionencelade,85€,x,sam. 18 août 2018,1 journée,38,,"MFR de Saint-Barthélémy, 70 route de Marcollin 38270 Saint-Barthelemy, France"
